area_name,area_code,area_type,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29,2020-08-30,2020-08-31,2020-09-01,2020-09-02,2020-09-03,2020-09-04,2020-09-05,2020-09-06,2020-09-07,2020-09-08,2020-09-09,2020-09-10,2020-09-11,2020-09-12,2020-09-13,2020-09-14,2020-09-15,2020-09-16,2020-09-17,2020-09-18,2020-09-19,2020-09-20,2020-09-21,2020-09-22,2020-09-23,2020-09-24,2020-09-25,2020-09-26,2020-09-27,2020-09-28,2020-09-29,2020-09-30,2020-10-01,2020-10-02,2020-10-03,2020-10-04,2020-10-05,2020-10-06,2020-10-07,2020-10-08,2020-10-09,2020-10-10,2020-10-11,2020-10-12,2020-10-13,2020-10-14,2020-10-15,2020-10-16,2020-10-17,2020-10-18,2020-10-19,2020-10-20,2020-10-21,2020-10-22,2020-10-23,2020-10-24,2020-10-25,2020-10-26,2020-10-27,2020-10-28,2020-10-29,2020-10-30,2020-10-31,2020-11-01,2020-11-02,2020-11-03,2020-11-04,2020-11-05
England,E92000001,nation,2,0,0,1,0,0,1,0,0,4,1,0,9,0,0,0,0,0,0,0,0,0,1,0,1,2,5,4,7,11,5,20,39,53,49,47,73,54,50,124,226,353,414,393,314,398,546,679,908,930,1084,1036,1210,2015,2026,2266,2614,2657,2375,2440,3526,3783,4104,4071,4101,3383,3086,4389,4580,4293,4062,3584,3083,2945,3443,3557,4225,4366,4076,4116,3473,3687,3971,4796,4562,4361,3374,3134,4033,4122,4741,4315,4089,2746,2630,2840,3143,3270,3204,2615,1793,2005,3069,2926,2880,2214,2131,1773,1589,2217,2587,2353,2275,1796,1300,1198,1379,1459,1612,1568,1370,1000,984,1312,1351,1243,1143,1021,721,663,987,1057,1085,917,934,785,745,938,991,912,944,809,628,551,813,726,728,638,644,502,411,666,570,604,561,539,384,539,655,559,672,680,520,422,351,689,649,724,639,546,466,414,753,691,750,733,712,492,515,809,781,973,855,625,493,512,940,920,941,978,864,636,557,1350,1213,1093,1020,1043,644,527,1137,924,1071,1221,1004,715,694,1082,1059,1141,1337,1387,1047,980,1259,1929,2617,2666,2587,2190,2056,3465,3001,2851,3101,2857,2212,1710,2897,3046,3748,3938,4277,4185,4621,4700,5371,5888,6296,6042,5645,6026,8572,8720,10512,11289,11559,9699,9805,14031,14281,15183,15250,12991,10149,9642,16180,15425,16431,15234,14519,12350,11847,22076,21309,21469,19582,18085,13513,13097,22706,20443,20189,19809,19380,13649,12457,18826,588,0,0
East Midlands,E12000004,region,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,2,7,2,3,7,5,1,10,12,25,18,22,19,26,34,33,49,66,53,69,99,117,136,116,154,137,159,129,206,277,296,213,259,189,148,215,227,188,233,172,174,214,172,210,218,267,255,195,246,187,219,334,268,299,246,242,319,272,378,294,294,198,169,235,284,334,313,269,176,198,308,322,298,226,252,257,203,272,293,274,281,240,164,145,192,160,197,191,170,139,149,217,218,171,143,153,105,127,173,177,166,182,173,132,145,165,161,164,169,153,145,131,177,171,173,126,114,87,78,129,129,120,105,107,84,127,139,108,110,95,99,94,46,105,89,113,92,80,63,48,82,68,88,94,82,44,38,92,77,108,109,75,69,54,108,88,114,113,91,73,72,209,176,119,109,87,55,58,138,77,101,100,101,49,52,83,73,91,84,96,49,61,87,154,250,239,182,171,139,350,313,262,213,222,147,124,202,208,246,243,261,256,276,308,287,324,350,349,344,401,580,604,880,993,1164,961,1064,1450,1448,1563,1769,1354,1062,1056,1720,1516,1761,1411,1267,1178,1061,2325,2096,2079,2103,1823,1449,1458,2334,2031,2110,2085,2010,1407,1136,1880,35,0,0
East of England,E12000006,region,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,1,0,7,7,1,5,3,2,4,16,14,18,37,16,35,23,38,74,56,71,78,91,194,165,188,216,243,183,209,300,322,333,372,352,269,282,385,389,409,326,320,271,260,292,289,295,336,365,329,317,362,406,521,476,422,377,358,511,464,474,424,493,302,317,391,331,388,396,229,202,208,390,315,330,217,210,175,153,285,256,244,246,190,150,103,147,150,150,163,160,83,61,139,130,123,93,110,93,46,94,130,118,71,65,89,73,113,107,77,83,74,31,57,74,44,60,39,59,20,25,49,34,39,63,60,42,36,56,39,76,54,49,42,34,64,81,55,61,51,28,21,81,66,54,50,79,28,26,65,56,66,52,31,22,36,68,56,53,44,70,44,23,67,47,66,61,67,31,27,63,59,63,82,63,50,52,102,100,93,122,102,80,88,101,123,172,149,123,95,80,159,167,125,165,130,83,62,141,146,145,146,215,144,177,176,219,218,242,243,199,257,365,410,424,466,513,441,463,643,664,684,702,640,420,435,780,796,744,875,692,541,601,1075,1142,1075,1033,1016,620,592,1174,942,1018,975,989,689,593,886,42,0,0
London,E12000007,region,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,2,3,1,4,12,6,18,14,23,14,22,54,92,183,165,136,149,165,234,310,356,333,426,351,437,689,636,759,766,821,577,594,869,936,979,1070,983,765,634,861,953,874,800,619,521,500,602,602,659,578,580,401,396,437,467,397,523,379,333,310,418,312,430,424,356,248,168,245,219,268,270,206,128,125,159,194,203,157,132,76,79,112,130,144,158,83,65,50,57,65,84,74,57,39,38,49,49,79,57,47,46,45,56,71,53,47,53,39,31,41,46,42,46,37,28,27,51,49,46,57,48,32,22,58,52,42,40,38,32,51,53,61,57,54,40,19,37,85,62,76,70,48,48,41,97,82,81,71,83,56,65,100,99,99,102,73,58,76,87,104,114,103,121,55,67,142,149,157,124,126,106,88,189,181,152,204,167,119,143,196,169,164,229,221,139,133,216,312,334,348,355,271,204,451,333,335,393,322,233,116,299,274,307,322,395,363,421,433,544,651,611,605,574,567,791,769,1091,1166,1144,848,913,1392,1281,1532,1572,1395,923,800,1621,1527,1663,1721,1688,1103,1325,2358,2313,2365,2160,2026,1463,1262,2512,2095,1973,1930,1868,1273,1094,1737,15,0,0
North East,E12000001,region,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,1,2,0,3,4,1,2,6,6,10,7,16,14,19,26,23,20,58,76,76,97,102,113,107,176,210,308,218,261,254,221,375,351,290,314,245,267,201,232,256,284,295,291,379,276,315,288,362,333,332,215,159,283,361,360,383,273,183,162,234,252,243,199,158,151,150,228,220,142,139,137,126,98,147,124,131,130,95,76,77,59,100,115,49,70,46,46,70,59,51,59,42,28,17,33,40,38,23,40,31,31,32,18,19,23,14,17,4,24,26,11,12,8,13,9,11,11,7,9,8,9,4,11,12,12,17,10,7,3,9,12,16,15,10,4,7,11,14,16,8,7,5,6,9,5,21,15,12,9,16,19,20,30,24,15,12,15,21,45,39,53,31,18,11,32,36,46,43,42,33,23,39,49,68,66,67,78,61,91,117,131,203,175,231,173,202,225,236,237,197,154,145,197,262,323,369,463,424,581,603,538,624,704,594,714,597,903,928,888,1053,1081,987,996,1235,1265,1346,1250,1118,784,854,1322,1237,1342,1149,1052,792,803,1382,1408,1496,1225,1019,850,834,1314,1158,1156,1104,1190,852,954,1348,52,0,0
North West,E12000002,region,0,0,0,1,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,6,7,2,10,2,8,5,7,15,17,40,42,25,24,56,55,84,98,82,115,117,176,255,255,358,333,322,359,507,554,620,679,681,602,627,874,792,852,803,602,612,488,608,633,691,778,580,862,608,674,692,912,858,750,549,428,623,710,795,772,726,412,493,427,576,585,508,483,344,347,529,549,525,428,392,407,302,409,581,499,427,376,288,262,268,309,295,324,303,217,233,261,285,256,238,203,131,129,165,218,225,177,170,128,148,165,211,184,178,163,118,99,158,126,159,127,105,93,95,123,103,112,98,96,71,115,141,94,115,130,88,79,54,105,109,146,150,110,106,93,164,156,208,183,158,137,158,190,199,288,221,179,158,166,300,278,260,278,239,215,159,358,310,275,237,241,156,115,282,191,254,224,210,173,118,232,212,284,288,359,247,257,263,445,661,623,630,534,571,952,857,829,906,872,755,608,1049,1074,1434,1388,1403,1469,1526,1430,1901,2037,2120,2094,1912,2125,2869,3013,3372,3476,3331,2914,2900,4266,4503,4332,4250,3733,2963,2931,4745,4265,4490,4163,3894,3599,3216,6134,5572,5560,4764,4474,3373,3279,5515,4942,4650,4518,4339,3027,2900,4307,194,0,0
South East,E12000008,region,0,0,0,0,0,0,1,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2,2,2,0,1,9,7,4,16,5,10,24,35,50,85,53,41,53,78,89,122,127,126,128,170,281,235,305,320,331,339,295,478,470,546,484,519,456,424,592,716,566,522,576,382,484,577,554,710,656,705,523,414,490,632,693,684,657,517,501,555,659,690,652,522,417,363,488,475,445,420,352,247,308,482,411,483,296,262,193,222,361,385,344,303,246,121,150,187,182,202,202,163,132,134,184,219,136,158,140,84,61,124,113,126,94,85,66,71,98,96,83,75,78,65,67,77,59,44,64,65,54,45,78,56,69,60,64,29,58,44,55,82,83,76,35,31,69,59,63,63,49,54,46,87,77,77,76,63,47,37,85,63,80,62,41,29,21,76,66,66,61,54,31,29,112,77,83,76,95,45,36,109,77,115,130,110,78,84,94,90,115,127,116,104,101,117,131,209,226,233,162,181,205,191,170,211,167,141,68,156,142,144,169,196,183,186,237,284,282,333,346,248,315,433,436,592,643,718,652,650,884,820,1048,1071,884,624,535,938,1076,1128,1015,1009,825,783,1437,1604,1648,1465,1436,1086,955,1864,1704,1646,1692,1617,1147,919,1481,37,0,0
South West,E12000009,region,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,8,10,6,4,11,4,3,5,11,14,18,30,10,17,18,21,43,21,43,42,44,62,68,104,119,129,102,101,163,140,183,183,187,174,153,186,212,236,246,234,173,179,194,185,211,262,240,168,201,183,228,285,281,250,200,254,321,276,348,244,263,208,176,166,172,200,180,178,107,134,255,177,176,94,103,91,97,119,108,137,88,82,41,59,61,81,104,115,73,51,62,52,52,69,65,52,23,18,23,25,31,25,19,13,9,20,15,16,13,24,8,8,19,15,16,8,12,8,11,16,18,23,11,8,9,17,23,16,15,17,13,6,5,17,19,17,27,20,12,9,23,35,30,39,34,17,20,39,34,53,63,29,9,10,43,54,40,45,41,25,15,41,41,42,53,55,24,37,48,58,69,85,64,39,41,49,50,62,56,72,50,34,57,101,123,151,134,84,78,105,81,75,92,98,63,58,80,89,75,115,122,130,150,154,162,184,224,232,164,144,322,289,429,431,443,390,442,617,597,722,814,675,525,456,710,914,826,666,747,623,570,1119,1114,1327,1229,1099,778,875,1314,1392,1352,1374,1215,806,664,1129,28,0,0
West Midlands,E12000005,region,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,1,3,6,2,6,4,8,17,29,46,40,31,44,56,69,99,123,151,125,112,239,250,240,313,279,323,366,431,412,410,447,372,346,290,360,386,361,345,362,253,239,281,322,387,511,446,547,340,401,492,578,551,482,386,315,418,376,441,451,469,318,298,235,318,314,369,341,163,217,250,308,244,258,266,175,172,208,278,253,225,196,148,134,138,152,193,154,156,115,78,126,126,125,137,103,77,64,120,101,92,92,76,86,75,102,104,80,83,52,48,37,67,52,54,56,69,44,26,56,51,50,54,40,23,36,53,60,65,122,43,40,38,78,71,108,65,68,51,40,83,80,78,89,78,67,66,77,89,90,80,81,54,42,88,98,94,114,106,74,77,157,164,133,117,171,96,73,138,110,118,163,104,76,82,130,142,125,143,157,113,94,127,259,336,366,422,314,318,486,426,388,385,351,292,214,319,363,452,509,584,584,591,644,611,699,695,622,582,520,718,749,971,894,932,758,686,1176,1208,1194,1272,1183,905,891,1463,1440,1545,1571,1608,1234,1174,2194,2259,2218,2117,2006,1533,1583,2620,2422,2522,2485,2573,1822,1508,2591,117,0,0
Yorkshire and The Humber,E12000003,region,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,3,4,2,2,2,5,3,7,18,10,14,12,12,10,28,31,46,55,59,77,95,144,156,151,179,153,207,229,285,320,297,243,293,203,218,321,337,318,305,299,261,269,326,314,473,375,351,365,417,401,350,563,450,592,414,423,511,486,713,579,621,385,384,350,440,413,459,352,245,296,426,375,405,355,336,258,244,261,387,295,383,267,235,204,254,232,254,274,199,165,177,191,197,206,178,156,121,149,188,173,226,197,246,193,159,189,216,230,258,203,162,116,156,172,156,143,152,148,97,133,112,131,104,106,78,90,120,103,126,97,92,86,98,135,133,119,86,100,97,101,115,100,103,106,108,88,91,143,149,163,141,98,81,85,144,146,157,176,120,104,97,222,185,171,179,161,108,79,126,122,140,165,129,89,93,131,134,119,199,161,170,143,192,265,369,332,308,307,298,523,375,394,456,388,313,292,381,415,555,576,559,561,670,625,724,775,921,827,823,1018,1424,1400,1753,2047,2116,1644,1629,2215,2356,2588,2392,1839,1842,1596,2698,2483,2714,2460,2371,2331,2196,3806,3578,3469,3278,2971,2235,2154,3829,3550,3569,3456,3410,2500,2595,3386,66,0,0
