area_name,area_code,area_type,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28
England,E92000001,nation,2,0,0,0,0,0,1,0,0,4,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,2,5,4,7,11,5,20,39,53,49,47,73,47,50,124,223,353,415,392,314,397,546,679,909,930,1082,1035,1208,2019,2026,2267,2612,2659,2376,2440,3525,3787,4099,4074,4096,3391,3085,4385,4577,4296,4063,3579,3080,2946,3439,3567,4235,4362,4089,4126,3473,3685,3971,4796,4565,4366,3373,3137,4032,4121,4743,4314,4097,2741,2633,2846,3151,3270,3202,2623,1792,2008,3066,2925,2880,2207,2128,1768,1590,2212,2584,2354,2274,1801,1298,1197,1380,1460,1612,1573,1371,998,987,1312,1356,1245,1144,1023,721,665,991,1056,1083,914,938,787,746,937,994,911,944,815,629,551,816,728,729,638,646,503,411,668,570,611,560,543,387,539,655,558,672,685,520,420,351,690,651,722,641,548,468,413,754,690,747,735,710,491,517,808,780,971,856,622,493,511,935,913,939,973,858,637,557,1351,1208,1084,1015,1040,645,529,1139,919,1071,1217,993,689,665,823,660,21,0,0
East Midlands,E12000004,region,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,2,7,2,3,7,4,1,10,12,25,18,22,19,26,34,33,49,66,53,69,99,117,136,116,154,137,159,129,207,277,296,213,259,189,148,215,227,188,233,173,174,214,172,210,218,267,256,195,246,187,219,334,272,298,245,243,319,272,378,294,294,198,169,235,284,334,313,268,176,198,308,320,298,226,251,256,202,272,293,274,281,240,164,145,192,160,197,191,170,139,149,217,219,171,143,154,105,128,174,177,166,182,174,133,145,165,161,164,169,153,145,131,177,169,173,126,114,87,78,129,129,120,105,108,85,127,139,108,110,95,99,94,46,105,89,113,92,80,63,48,82,68,88,94,81,44,38,92,76,108,109,75,69,53,107,88,115,114,90,73,72,210,176,119,109,87,55,58,136,75,101,100,99,49,51,72,55,0,0,0
East of England,E12000006,region,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,1,0,7,7,1,5,3,2,4,16,14,18,37,16,35,23,38,74,56,70,77,91,196,165,188,215,244,183,209,300,322,333,372,352,269,281,385,389,409,322,318,271,259,292,289,296,337,365,329,316,363,407,522,475,424,377,358,511,464,474,424,494,302,317,392,332,388,396,229,202,208,391,315,329,217,211,175,153,283,253,243,246,190,150,102,147,150,149,163,160,83,61,139,131,123,93,110,93,46,95,130,118,70,66,89,73,112,107,77,82,74,31,57,74,44,60,38,60,20,25,50,34,41,61,60,43,36,56,38,76,55,50,42,34,64,81,55,62,51,28,21,81,66,54,51,79,28,28,65,56,66,52,31,22,36,68,55,53,44,70,44,23,67,44,65,61,67,29,27,62,59,63,81,63,46,49,72,56,2,0,0
London,E12000007,region,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,2,3,1,4,12,6,18,14,23,14,22,53,91,183,165,136,149,165,234,310,356,333,426,351,437,689,637,759,766,822,577,595,870,936,980,1073,981,766,635,860,953,874,799,614,521,501,601,605,660,576,578,402,396,434,466,396,523,378,333,310,417,311,431,425,356,249,167,247,221,269,272,207,127,125,159,195,204,157,131,73,79,112,132,144,158,85,65,50,58,66,84,74,57,39,38,49,49,79,57,47,46,45,56,71,53,47,54,39,31,41,47,43,47,37,28,27,51,49,46,57,48,32,22,58,52,42,38,38,32,51,53,60,57,54,40,19,37,85,62,76,70,48,48,41,97,82,81,71,81,55,65,99,98,99,101,73,58,72,87,103,115,104,119,55,67,142,149,150,124,126,104,87,190,181,150,203,164,111,143,134,85,4,0,0
North East,E12000001,region,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,1,2,0,3,4,1,2,6,6,10,7,16,14,19,26,23,20,58,76,76,97,102,113,107,176,211,307,219,261,254,221,375,351,291,314,245,267,201,232,257,284,295,293,380,276,315,288,361,330,332,215,159,284,360,360,383,273,183,163,233,251,243,199,159,150,150,228,220,144,138,137,126,98,147,123,131,130,95,75,77,60,100,115,49,70,47,46,70,59,51,60,42,28,17,34,40,37,23,40,31,31,32,18,19,23,14,17,4,24,26,11,12,8,14,9,11,11,7,9,8,9,4,11,12,12,17,10,7,3,8,12,16,15,10,4,7,11,14,16,8,7,5,7,9,5,21,15,12,9,16,19,19,30,22,14,12,15,20,45,39,53,31,18,11,31,35,47,43,42,33,21,27,29,1,0,0
North West,E12000002,region,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,6,7,2,10,2,6,5,7,15,17,40,41,25,23,56,55,84,98,82,114,117,176,255,255,358,332,322,359,507,556,616,681,682,604,625,871,791,851,804,601,611,488,608,632,695,779,581,860,608,674,692,911,859,750,548,428,623,708,796,772,726,410,492,427,576,584,509,483,344,347,528,548,525,425,392,407,304,410,579,499,426,375,287,262,268,309,294,325,303,215,235,260,285,257,237,204,132,130,165,217,224,177,168,128,148,164,211,183,178,168,118,99,159,127,159,125,107,93,95,123,102,115,99,97,71,115,142,94,114,129,87,77,54,105,109,146,149,111,106,93,164,156,208,183,160,137,157,189,200,287,221,177,157,167,300,277,259,277,238,216,158,359,309,275,236,240,156,116,281,188,253,224,209,165,112,194,128,5,0,0
South East,E12000008,region,0,0,0,0,0,0,1,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2,2,2,0,1,9,7,4,16,4,10,24,34,50,85,53,41,53,78,89,122,127,126,129,169,281,235,305,320,332,339,296,477,471,547,486,521,458,424,593,717,569,525,577,383,486,577,553,711,655,706,521,414,489,632,693,684,656,518,501,555,658,690,651,521,414,368,489,473,444,418,354,248,310,481,411,483,294,262,191,223,362,385,343,303,246,120,150,187,180,202,202,163,131,134,185,221,137,160,140,85,61,123,112,127,93,87,66,72,99,97,81,75,80,66,67,78,60,44,65,65,54,45,80,57,70,61,62,29,58,45,54,82,83,75,34,31,69,59,63,63,49,55,46,87,77,76,76,64,47,37,85,65,79,64,41,30,21,74,66,65,61,53,31,29,113,76,83,76,95,45,36,109,78,115,129,109,76,81,61,46,3,0,0
South West,E12000009,region,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,8,10,6,4,11,2,3,5,10,14,18,30,10,17,18,21,43,21,43,42,44,62,68,104,118,129,102,101,163,140,183,183,187,174,153,186,212,236,246,234,173,178,194,185,211,262,240,168,201,181,226,286,281,250,200,254,321,276,348,244,264,208,176,166,174,201,180,178,107,134,255,177,176,93,103,91,97,118,108,137,87,82,41,59,61,81,104,115,73,51,62,51,51,70,65,51,23,18,23,26,31,25,19,14,9,20,15,16,13,24,8,8,19,15,16,8,12,8,11,16,18,23,11,8,10,17,22,17,15,17,13,6,5,18,19,17,27,20,12,9,24,35,30,39,34,17,20,40,34,53,63,29,9,9,42,54,40,45,42,25,15,42,41,43,53,55,25,37,49,58,70,85,64,38,39,36,31,1,0,0
West Midlands,E12000005,region,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,1,3,6,2,5,4,8,17,29,46,40,31,44,56,69,99,123,151,125,111,240,250,240,313,279,323,366,431,412,410,447,373,346,290,360,387,361,345,362,253,239,280,321,387,511,446,547,340,401,491,578,551,482,386,315,417,377,441,451,469,318,298,235,318,314,368,341,163,217,250,309,244,258,263,175,172,207,278,252,225,195,148,134,138,151,194,154,156,116,77,125,125,125,136,103,77,64,120,101,92,92,76,86,75,102,105,80,83,52,48,38,68,53,55,56,69,44,26,56,51,50,55,41,23,36,52,61,65,124,43,40,38,78,71,107,65,67,51,40,83,80,78,90,78,67,66,77,88,90,80,81,54,42,87,96,94,112,105,73,76,157,165,132,116,170,96,71,140,109,118,162,103,73,77,103,109,0,0,0
Yorkshire and The Humber,E12000003,region,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,3,4,2,2,2,5,3,7,18,10,14,12,12,10,28,31,46,55,59,77,95,145,156,151,179,154,207,229,285,320,298,242,293,203,219,321,338,319,305,299,261,269,325,316,473,375,351,365,417,401,350,564,449,592,414,422,510,486,712,579,622,385,383,350,440,413,458,352,245,296,426,374,404,355,335,259,244,261,386,296,383,268,235,204,253,232,254,274,200,164,176,191,197,206,178,155,121,149,188,171,226,197,247,193,159,189,216,230,257,202,162,116,156,172,157,144,152,148,97,133,112,132,104,108,78,90,120,103,126,98,92,87,98,135,133,119,86,100,98,101,115,98,103,106,108,88,91,143,149,163,141,98,81,85,144,146,154,174,120,105,97,221,185,171,177,160,109,79,127,122,138,165,127,88,86,100,95,5,0,0
